algorithm,top_provider,top_score,execution_seconds,memory_bytes,rank,provider_count
IRNAM_Weighted,dConverterSOAP,0.74945991265,0.008813399996142834,13200,1,1643
M-TOPSIS,dConverterSOAP,0.762618230264,0.2505738000036217,3222323,1,1643
TOPSIS,dConverterSOAP,0.695904436185,0.15511030005291104,3273786,1,1643
AHP,dConverterSOAP,0.74945991265,0.08213720005005598,3258025,1,1643
VIKOR,RetHeaderService,0.907956273826,0.4496897999779321,3261301,1,1643
PROMETHEE II,dConverterSOAP,0.74945991265,0.09371449996251613,3256619,1,1643
ELECTRE,dConverterSOAP,0.74945991265,0.05294470000080764,3256451,1,1643
SAW,dConverterSOAP,0.74945991265,0.04902629996649921,3256619,1,1643
Weighted Product Model,RetHeaderService,0.553093686444,0.09689500002423301,3258116,1,1643
